,Iteration,Time,Fitness,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
70,70,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
71,71,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
72,72,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
73,73,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
74,74,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
75,75,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
76,76,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
77,77,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
78,78,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
79,79,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
80,80,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
81,81,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
82,82,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
83,83,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
84,84,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
85,85,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
86,86,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
87,87,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
88,88,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
89,89,36.804093146000014,239.2254736526907,GA,200,0.55,200,0.55
