,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
40,4096,64.0,0.7897987210000004,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,50,50
41,8192,64.0,1.3633626990000005,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,50,50
42,1,33.0,0.00021049500000014376,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,100,100
43,2,32.0,0.000525193999999729,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 0 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,100,100
44,4,34.0,0.0008438950000000389,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,100,100
45,8,30.0,0.0012725270000002453,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,100,100
46,16,30.0,0.0019278130000000004,"[0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 1
 1 1 1 0 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0]",SA,100,100
47,32,30.0,0.0029989620000003825,"[0 1 0 1 0 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 1 1 1
 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 0]",SA,100,100
48,64,33.0,0.005002381999999805,"[1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 1 1
 1 1 0 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1]",SA,100,100
49,128,29.0,0.00929894500000028,"[0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 1 0
 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1]",SA,100,100
50,256,28.0,0.017791510000000343,"[1 1 1 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 1 0 0 1 0
 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0]",SA,100,100
51,512,55.0,0.03741070800000035,"[1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1]",SA,100,100
52,1024,64.0,0.09187418399999991,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,100,100
53,2048,64.0,0.25945418600000014,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,100,100
54,4096,64.0,0.818080235,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,100,100
55,8192,64.0,1.498834789,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,100,100
56,1,33.0,0.00020662799999993098,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,250,250
57,2,32.0,0.0005352009999999296,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 0 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,250,250
58,4,34.0,0.0008573700000003015,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,250,250
59,8,30.0,0.0012892280000000866,"[0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 1
 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0]",SA,250,250
60,16,30.0,0.0019048120000002555,"[0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 1 1
 1 1 1 0 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0]",SA,250,250
61,32,30.0,0.0030681340000002777,"[0 1 0 1 0 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 1 1 1
 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 0]",SA,250,250
62,64,34.0,0.005628345999999951,"[1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 1 1
 1 1 0 0 1 0 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 1]",SA,250,250
63,128,30.0,0.009499241000000325,"[0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0
 0 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 1]",SA,250,250
64,256,28.0,0.01802513600000033,"[0 1 1 1 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0
 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0]",SA,250,250
65,512,41.0,0.03880541400000048,"[1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 0 0 1 1
 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1]",SA,250,250
66,1024,64.0,0.09233293700000011,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,250,250
67,2048,64.0,0.2623914310000002,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,250,250
68,4096,64.0,0.824109667000001,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,250,250
69,8192,64.0,1.5698647469999996,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",SA,250,250
